iter	Passed	Remaining
0	80	80252
1	181	90319
2	269	89649
3	322	80355
4	360	71758
5	407	67570
6	455	64586
7	552	68460
8	588	64747
9	616	61066
10	673	60597
11	730	60179
12	816	61984
13	864	60883
14	928	60969
15	967	59514
16	1001	57935
17	1046	57098
18	1106	57111
19	1164	57044
20	1247	58147
21	1274	56657
22	1339	56920
23	1387	56419
24	1418	55329
25	1449	54284
26	1475	53165
27	1496	51952
28	1529	51213
29	1551	50165
30	1572	49158
31	1593	48195
32	1617	47407
33	1645	46754
34	1674	46165
35	1713	45885
36	1738	45253
37	1759	44537
38	1786	44028
39	1809	43425
40	1827	42750
41	1848	42166
42	1862	41441
43	1878	40820
44	1892	40161
45	1908	39588
46	1923	39004
47	1940	38477
48	1957	37984
49	1971	37464
50	1985	36948
51	2005	36562
52	2018	36074
53	2034	35644
54	2050	35227
55	2066	34836
56	2080	34424
57	2096	34049
58	2112	33687
59	2129	33364
60	2144	33018
61	2163	32738
62	2183	32468
63	2199	32167
64	2213	31841
65	2231	31583
66	2245	31268
67	2260	30981
68	2274	30689
69	2287	30385
70	2301	30114
71	2315	29843
72	2328	29562
73	2339	29272
74	2351	29000
75	2364	28751
76	2376	28483
77	2388	28229
78	2401	27997
79	2413	27752
80	2424	27508
81	2438	27297
82	2452	27093
83	2465	26882
84	2476	26657
85	2487	26435
86	2500	26241
87	2510	26015
88	2521	25808
89	2533	25612
90	2545	25423
91	2555	25223
92	2568	25049
93	2581	24881
94	2592	24699
95	2603	24513
96	2614	24342
97	2627	24181
98	2640	24033
99	2652	23868
100	2664	23713
101	2675	23557
102	2689	23420
103	2702	23279
104	2712	23120
105	2722	22965
106	2734	22825
107	2745	22677
108	2756	22530
109	2770	22413
110	2783	22291
111	2795	22161
112	2805	22025
113	2817	21895
114	2826	21752
115	2838	21631
116	2848	21501
117	2860	21381
118	2872	21263
119	2883	21148
120	2897	21045
121	2907	20926
122	2921	20829
123	2933	20722
124	2943	20607
125	2954	20492
126	2966	20391
127	2978	20293
128	2990	20190
129	3003	20100
130	3015	20003
131	3025	19894
132	3037	19800
133	3048	19700
134	3059	19605
135	3070	19505
136	3083	19421
137	3095	19336
138	3106	19241
139	3118	19155
140	3127	19051
141	3136	18954
142	3148	18871
143	3163	18805
144	3177	18738
145	3188	18650
146	3197	18554
147	3206	18457
148	3214	18361
149	3222	18263
150	3232	18172
151	3240	18077
152	3248	17983
153	3256	17892
154	3264	17796
155	3272	17703
156	3282	17626
157	3294	17554
158	3303	17470
159	3311	17385
160	3319	17297
161	3326	17208
162	3334	17122
163	3342	17037
164	3351	16960
165	3360	16883
166	3369	16805
167	3379	16738
168	3389	16664
169	3399	16595
170	3407	16518
171	3416	16447
172	3426	16377
173	3434	16305
174	3443	16231
175	3450	16156
176	3460	16089
177	3468	16016
178	3476	15946
179	3485	15877
180	3494	15813
181	3503	15744
182	3510	15670
183	3518	15603
184	3526	15535
185	3535	15470
186	3543	15403
187	3552	15345
188	3560	15278
189	3569	15216
190	3578	15157
191	3586	15093
192	3596	15038
193	3604	14976
194	3611	14910
195	3620	14852
196	3629	14793
197	3637	14734
198	3646	14677
199	3654	14618
200	3663	14561
201	3671	14505
202	3680	14449
203	3689	14396
204	3699	14345
205	3708	14294
206	3716	14237
207	3725	14185
208	3734	14132
209	3742	14077
210	3750	14024
211	3758	13969
212	3766	13916
213	3777	13872
214	3785	13822
215	3794	13771
216	3802	13720
217	3810	13670
218	3819	13620
219	3828	13574
220	3837	13525
221	3846	13481
222	3855	13434
223	3865	13391
224	3875	13348
225	3884	13303
226	3894	13261
227	3903	13217
228	3913	13176
229	3922	13132
230	3930	13085
231	3939	13039
232	3947	12994
233	3955	12947
234	3963	12902
235	3970	12854
236	3979	12811
237	3986	12763
238	3994	12718
239	4002	12673
240	4010	12630
241	4018	12587
242	4026	12544
243	4034	12501
244	4042	12456
245	4050	12414
246	4058	12371
247	4067	12333
248	4075	12293
249	4083	12251
250	4091	12208
251	4099	12167
252	4107	12127
253	4115	12088
254	4123	12047
255	4132	12008
256	4139	11968
257	4147	11926
258	4155	11890
259	4164	11852
260	4172	11815
261	4180	11776
262	4189	11741
263	4198	11704
264	4207	11668
265	4215	11630
266	4222	11593
267	4231	11558
268	4238	11519
269	4247	11483
270	4255	11447
271	4263	11410
272	4272	11377
273	4281	11343
274	4289	11309
275	4299	11277
276	4306	11240
277	4314	11205
278	4322	11169
279	4330	11135
280	4339	11103
281	4346	11067
282	4354	11033
283	4363	11000
284	4372	10969
285	4381	10937
286	4388	10902
287	4396	10868
288	4404	10836
289	4413	10804
290	4422	10775
291	4430	10741
292	4437	10708
293	4445	10676
294	4453	10643
295	4462	10613
296	4471	10583
297	4478	10551
298	4487	10519
299	4495	10488
300	4503	10457
301	4511	10428
302	4520	10397
303	4527	10366
304	4536	10336
305	4544	10305
306	4552	10276
307	4561	10248
308	4569	10217
309	4576	10187
310	4583	10155
311	4591	10124
312	4599	10096
313	4608	10067
314	4616	10039
315	4625	10011
316	4635	9986
317	4642	9956
318	4650	9927
319	4658	9900
320	4667	9872
321	4674	9843
322	4683	9815
323	4692	9790
324	4701	9764
325	4712	9742
326	4721	9718
327	4733	9696
328	4743	9673
329	4751	9646
330	4763	9628
331	4773	9604
332	4783	9581
333	4793	9558
334	4806	9541
335	4816	9519
336	4826	9495
337	4834	9469
338	4843	9443
339	4853	9421
340	4863	9398
341	4873	9375
342	4881	9351
343	4890	9326
344	4899	9301
345	4908	9278
346	4916	9252
347	4924	9226
348	4933	9203
349	4944	9182
350	4952	9157
351	4963	9137
352	4971	9111
353	4979	9087
354	4988	9063
355	4995	9036
356	5003	9011
357	5011	8986
358	5019	8962
359	5028	8939
360	5038	8919
361	5047	8895
362	5055	8871
363	5063	8847
364	5072	8823
365	5080	8800
366	5090	8780
367	5099	8758
368	5107	8733
369	5114	8708
370	5123	8686
371	5131	8663
372	5143	8646
373	5153	8626
374	5164	8606
375	5171	8583
376	5180	8561
377	5190	8540
378	5200	8521
379	5209	8499
380	5217	8476
381	5226	8455
382	5235	8433
383	5245	8414
384	5257	8398
385	5267	8378
386	5275	8355
387	5283	8333
388	5291	8310
389	5299	8288
390	5306	8264
391	5313	8241
392	5321	8219
393	5329	8196
394	5337	8175
395	5350	8161
396	5360	8141
397	5369	8121
398	5378	8101
399	5389	8083
400	5398	8063
401	5407	8043
402	5415	8022
403	5424	8002
404	5433	7981
405	5443	7963
406	5452	7944
407	5462	7925
408	5469	7903
409	5479	7885
410	5486	7863
411	5494	7841
412	5502	7820
413	5509	7799
414	5518	7778
415	5525	7757
416	5535	7738
417	5544	7719
418	5553	7701
419	5563	7683
420	5571	7662
421	5579	7642
422	5588	7623
423	5596	7602
424	5604	7582
425	5613	7563
426	5620	7542
427	5628	7521
428	5637	7502
429	5646	7485
430	5655	7466
431	5663	7446
432	5670	7425
433	5678	7405
434	5689	7389
435	5697	7370
436	5705	7350
437	5713	7330
438	5721	7311
439	5729	7291
440	5738	7273
441	5749	7257
442	5758	7239
443	5766	7220
444	5775	7203
445	5785	7186
446	5795	7169
447	5803	7151
448	5812	7133
449	5821	7115
450	5837	7106
451	5851	7093
452	5863	7080
453	5872	7062
454	5880	7043
455	5889	7025
456	5897	7007
457	5904	6987
458	5912	6968
459	5922	6952
460	5935	6939
461	5945	6923
462	5954	6906
463	5965	6891
464	5975	6874
465	5985	6858
466	5994	6842
467	6003	6824
468	6013	6808
469	6022	6791
470	6033	6776
471	6042	6759
472	6053	6744
473	6063	6729
474	6074	6713
475	6083	6697
476	6092	6680
477	6100	6662
478	6109	6645
479	6117	6627
480	6125	6609
481	6136	6594
482	6144	6577
483	6152	6559
484	6161	6542
485	6170	6526
486	6177	6507
487	6187	6491
488	6196	6474
489	6204	6457
490	6213	6440
491	6220	6422
492	6228	6405
493	6237	6388
494	6245	6371
495	6253	6353
496	6262	6337
497	6269	6320
498	6276	6301
499	6284	6284
500	6292	6267
501	6302	6252
502	6310	6235
503	6317	6217
504	6326	6201
505	6335	6185
506	6344	6169
507	6352	6152
508	6362	6137
509	6372	6122
510	6382	6107
511	6393	6093
512	6401	6076
513	6409	6060
514	6417	6043
515	6426	6027
516	6434	6011
517	6443	5995
518	6449	5977
519	6457	5960
520	6463	5942
521	6471	5925
522	6481	5911
523	6489	5895
524	6496	5878
525	6504	5861
526	6511	5843
527	6518	5827
528	6528	5812
529	6536	5796
530	6544	5780
531	6552	5764
532	6560	5748
533	6569	5733
534	6580	5719
535	6586	5702
536	6593	5685
537	6601	5669
538	6608	5651
539	6616	5636
540	6624	5620
541	6633	5605
542	6641	5589
543	6648	5572
544	6655	5556
545	6662	5540
546	6670	5523
547	6677	5508
548	6685	5492
549	6692	5475
550	6700	5460
551	6708	5444
552	6714	5427
553	6723	5412
554	6731	5397
555	6738	5380
556	6746	5365
557	6755	5351
558	6762	5335
559	6769	5319
560	6777	5303
561	6785	5288
562	6795	5274
563	6804	5259
564	6812	5244
565	6821	5230
566	6831	5216
567	6838	5201
568	6847	5186
569	6858	5174
570	6866	5158
571	6877	5145
572	6887	5132
573	6906	5125
574	6929	5121
575	6944	5112
576	6960	5102
577	6970	5089
578	6980	5075
579	6988	5060
580	6998	5047
581	7006	5032
582	7016	5018
583	7027	5005
584	7044	4997
585	7059	4987
586	7076	4979
587	7087	4966
588	7101	4955
589	7124	4951
590	7149	4947
591	7164	4937
592	7180	4928
593	7201	4922
594	7218	4913
595	7234	4903
596	7247	4892
597	7260	4880
598	7273	4869
599	7287	4858
600	7299	4845
601	7308	4831
602	7320	4819
603	7332	4807
604	7345	4795
605	7355	4782
606	7368	4770
607	7379	4757
608	7389	4744
609	7397	4729
610	7408	4716
611	7416	4701
612	7427	4689
613	7437	4675
614	7448	4663
615	7457	4648
616	7465	4633
617	7475	4620
618	7484	4606
619	7493	4592
620	7503	4579
621	7512	4565
622	7523	4552
623	7531	4538
624	7543	4526
625	7552	4512
626	7561	4498
627	7572	4485
628	7581	4471
629	7593	4459
630	7601	4445
631	7614	4433
632	7623	4419
633	7634	4407
634	7644	4393
635	7654	4380
636	7662	4366
637	7674	4354
638	7682	4340
639	7694	4328
640	7704	4315
641	7714	4301
642	7723	4288
643	7732	4274
644	7744	4262
645	7755	4249
646	7764	4236
647	7775	4223
648	7784	4210
649	7793	4196
650	7801	4182
651	7811	4169
652	7819	4155
653	7829	4142
654	7838	4128
655	7851	4117
656	7859	4103
657	7871	4091
658	7879	4077
659	7888	4063
660	7900	4051
661	7908	4037
662	7917	4024
663	7927	4011
664	7936	3997
665	7947	3985
666	7955	3971
667	7963	3958
668	7974	3945
669	7982	3931
670	7991	3918
671	8001	3905
672	8009	3891
673	8018	3878
674	8029	3866
675	8038	3852
676	8046	3838
677	8052	3824
678	8060	3810
679	8070	3798
680	8077	3783
681	8085	3770
682	8093	3756
683	8101	3742
684	8110	3729
685	8118	3716
686	8126	3702
687	8134	3688
688	8143	3675
689	8152	3662
690	8159	3648
691	8167	3635
692	8178	3622
693	8186	3609
694	8194	3596
695	8202	3582
696	8210	3569
697	8219	3556
698	8228	3543
699	8235	3529
700	8247	3517
701	8256	3504
702	8264	3491
703	8276	3479
704	8288	3468
705	8298	3455
706	8309	3443
707	8319	3431
708	8330	3419
709	8341	3407
710	8352	3395
711	8364	3383
712	8375	3371
713	8384	3358
714	8391	3344
715	8399	3331
716	8406	3318
717	8414	3304
718	8424	3292
719	8432	3279
720	8451	3270
721	8459	3257
722	8467	3244
723	8475	3230
724	8481	3217
725	8488	3203
726	8495	3190
727	8501	3176
728	8508	3162
729	8515	3149
730	8521	3135
731	8527	3121
732	8534	3108
733	8540	3094
734	8547	3081
735	8553	3068
736	8560	3054
737	8567	3041
738	8574	3028
739	8580	3014
740	8586	3001
741	8592	2987
742	8599	2974
743	8604	2960
744	8610	2947
745	8616	2933
746	8621	2920
747	8627	2906
748	8634	2893
749	8639	2879
750	8644	2866
751	8651	2853
752	8657	2839
753	8663	2826
754	8669	2813
755	8675	2799
756	8679	2786
757	8685	2772
758	8691	2759
759	8697	2746
760	8703	2733
761	8709	2720
762	8714	2706
763	8722	2694
764	8726	2680
765	8732	2667
766	8738	2654
767	8744	2641
768	8750	2628
769	8756	2615
770	8762	2602
771	8769	2589
772	8773	2576
773	8779	2563
774	8786	2550
775	8791	2537
776	8796	2524
777	8800	2511
778	8806	2498
779	8812	2485
780	8818	2472
781	8823	2459
782	8828	2446
783	8833	2433
784	8840	2421
785	8845	2408
786	8851	2395
787	8856	2382
788	8861	2369
789	8867	2357
790	8874	2344
791	8880	2332
792	8886	2319
793	8892	2307
794	8898	2294
795	8905	2282
796	8910	2269
797	8915	2256
798	8920	2244
799	8925	2231
800	8932	2219
801	8938	2206
802	8945	2194
803	8950	2182
804	8957	2169
805	8961	2157
806	8968	2144
807	8974	2132
808	8981	2120
809	8986	2107
810	8992	2095
811	8999	2083
812	9005	2071
813	9012	2059
814	9018	2047
815	9023	2034
816	9032	2023
817	9039	2011
818	9046	1999
819	9053	1987
820	9057	1974
821	9063	1962
822	9069	1950
823	9077	1938
824	9083	1926
825	9090	1914
826	9099	1903
827	9104	1891
828	9110	1879
829	9116	1867
830	9124	1855
831	9131	1843
832	9138	1832
833	9144	1820
834	9150	1808
835	9156	1796
836	9162	1784
837	9169	1772
838	9175	1760
839	9182	1749
840	9187	1737
841	9193	1725
842	9198	1713
843	9204	1701
844	9210	1689
845	9216	1677
846	9222	1665
847	9227	1654
848	9233	1642
849	9241	1630
850	9246	1618
851	9252	1607
852	9258	1595
853	9264	1583
854	9270	1572
855	9276	1560
856	9282	1548
857	9287	1537
858	9292	1525
859	9297	1513
860	9303	1502
861	9309	1490
862	9315	1478
863	9320	1467
864	9326	1455
865	9332	1444
866	9339	1432
867	9345	1421
868	9350	1409
869	9354	1397
870	9360	1386
871	9366	1374
872	9372	1363
873	9379	1352
874	9385	1340
875	9391	1329
876	9397	1318
877	9402	1306
878	9408	1295
879	9414	1283
880	9419	1272
881	9425	1261
882	9431	1249
883	9437	1238
884	9444	1227
885	9449	1215
886	9454	1204
887	9460	1193
888	9466	1182
889	9472	1170
890	9479	1159
891	9485	1148
892	9492	1137
893	9499	1126
894	9505	1115
895	9509	1103
896	9515	1092
897	9521	1081
898	9527	1070
899	9533	1059
900	9540	1048
901	9547	1037
902	9554	1026
903	9561	1015
904	9567	1004
905	9574	993
906	9581	982
907	9588	971
908	9594	960
909	9600	949
910	9607	938
911	9614	927
912	9621	916
913	9628	905
914	9635	895
915	9641	884
916	9647	873
917	9655	862
918	9662	851
919	9669	840
920	9675	829
921	9682	819
922	9687	808
923	9695	797
924	9702	786
925	9709	775
926	9713	764
927	9719	754
928	9725	743
929	9731	732
930	9738	721
931	9744	711
932	9750	700
933	9754	689
934	9759	678
935	9776	668
936	9781	657
937	9786	646
938	9792	636
939	9798	625
940	9804	614
941	9811	604
942	9817	593
943	9821	582
944	9827	571
945	9833	561
946	9839	550
947	9845	540
948	9851	529
949	9856	518
950	9862	508
951	9868	497
952	9881	487
953	9887	476
954	9893	466
955	9899	455
956	9905	445
957	9912	434
958	9917	424
959	9922	413
960	9928	402
961	9934	392
962	9955	382
963	9960	371
964	9964	361
965	9969	350
966	9974	340
967	9980	329
968	9984	319
969	9989	308
970	9994	298
971	9998	288
972	10003	277
973	10008	267
974	10014	256
975	10018	246
976	10023	235
977	10028	225
978	10033	215
979	10040	204
980	10045	194
981	10050	184
982	10055	173
983	10060	163
984	10065	153
985	10071	142
986	10076	132
987	10082	122
988	10089	112
989	10095	101
990	10100	91
991	10105	81
992	10111	71
993	10116	61
994	10121	50
995	10125	40
996	10131	30
997	10136	20
998	10142	10
999	10149	0
4
933	16642	1176
934	16650	1157
935	16659	1139
936	16670	1120
937	16678	1102
938	16690	1084
939	16698	1065
940	16710	1047
941	16719	1029
942	16726	1011
943	16738	992
944	16747	974
945	16758	956
946	16766	938
947	16775	920
948	16786	902
949	16794	883
950	16806	865
951	16815	847
952	16826	829
953	16834	811
954	16843	793
955	16855	775
956	16862	757
957	16871	739
958	16882	721
959	16890	703
960	16898	685
961	16909	667
962	16918	650
963	16926	632
964	16937	614
965	16945	596
966	16968	579
967	16978	561
968	16986	543
969	16993	525
970	17001	507
971	17012	490
972	17020	472
973	17029	454
974	17039	436
975	17047	419
976	17056	401
977	17066	383
978	17075	366
979	17086	348
980	17096	331
981	17105	313
982	17114	295
983	17122	278
984	17130	260
985	17140	243
986	17149	225
987	17158	208
988	17169	190
989	17179	173
990	17190	156
991	17200	138
992	17211	121
993	17223	103
994	17232	86
995	17244	69
996	17257	51
997	17267	34
998	17278	17
999	17287	0
5	36737	903
976	36748	865
977	36757	826
978	36768	788
979	36777	750
980	36789	712
981	36801	674
982	36812	636
983	36824	598
984	36834	560
985	36847	523
986	36858	485
987	36870	447
988	36883	410
989	36894	372
990	36906	335
991	36918	297
992	36928	260
993	36940	222
994	36952	185
995	36963	148
996	36972	111
997	36985	74
998	36997	37
999	37009	0
586	119
997	39606	79
998	39621	39
999	39640	0
